label,split_file,embedding_file
test,data/split_5s/test/sample_seg000.wav,data/embeddings/test/sample_seg000.npy
test,data/split_5s/test/sample_seg001.wav,data/embeddings/test/sample_seg001.npy
test,data/split_5s/test/sample_seg002.wav,data/embeddings/test/sample_seg002.npy
test,data/split_5s/test/sample_seg003.wav,data/embeddings/test/sample_seg003.npy
meal,data/split_5s/meal/meal_10_seg000.wav,data/embeddings/meal/meal_10_seg000.npy
meal,data/split_5s/meal/meal_10_seg001.wav,data/embeddings/meal/meal_10_seg001.npy
meal,data/split_5s/meal/meal_10_seg002.wav,data/embeddings/meal/meal_10_seg002.npy
meal,data/split_5s/meal/meal_10_seg003.wav,data/embeddings/meal/meal_10_seg003.npy
meal,data/split_5s/meal/meal_11_seg000.wav,data/embeddings/meal/meal_11_seg000.npy
meal,data/split_5s/meal/meal_11_seg001.wav,data/embeddings/meal/meal_11_seg001.npy
meal,data/split_5s/meal/meal_13_seg000.wav,data/embeddings/meal/meal_13_seg000.npy
meal,data/split_5s/meal/meal_14_seg000.wav,data/embeddings/meal/meal_14_seg000.npy
meal,data/split_5s/meal/meal_15_seg000.wav,data/embeddings/meal/meal_15_seg000.npy
meal,data/split_5s/meal/meal_16_seg000.wav,data/embeddings/meal/meal_16_seg000.npy
meal,data/split_5s/meal/meal_17_seg000.wav,data/embeddings/meal/meal_17_seg000.npy
meal,data/split_5s/meal/meal_18_seg000.wav,data/embeddings/meal/meal_18_seg000.npy
meal,data/split_5s/meal/meal_1_seg000.wav,data/embeddings/meal/meal_1_seg000.npy
meal,data/split_5s/meal/meal_21_seg000.wav,data/embeddings/meal/meal_21_seg000.npy
meal,data/split_5s/meal/meal_24_seg000.wav,data/embeddings/meal/meal_24_seg000.npy
meal,data/split_5s/meal/meal_2_seg000.wav,data/embeddings/meal/meal_2_seg000.npy
meal,data/split_5s/meal/meal_3_seg000.wav,data/embeddings/meal/meal_3_seg000.npy
meal,data/split_5s/meal/meal_4_seg000.wav,data/embeddings/meal/meal_4_seg000.npy
meal,data/split_5s/meal/meal_4_seg001.wav,data/embeddings/meal/meal_4_seg001.npy
meal,data/split_5s/meal/meal_4_seg002.wav,data/embeddings/meal/meal_4_seg002.npy
meal,data/split_5s/meal/meal_4_seg003.wav,data/embeddings/meal/meal_4_seg003.npy
meal,data/split_5s/meal/meal_5_seg000.wav,data/embeddings/meal/meal_5_seg000.npy
meal,data/split_5s/meal/meal_5_seg001.wav,data/embeddings/meal/meal_5_seg001.npy
meal,data/split_5s/meal/meal_5_seg002.wav,data/embeddings/meal/meal_5_seg002.npy
meal,data/split_5s/meal/meal_5_seg003.wav,data/embeddings/meal/meal_5_seg003.npy
meal,data/split_5s/meal/meal_6_seg000.wav,data/embeddings/meal/meal_6_seg000.npy
meal,data/split_5s/meal/meal_6_seg001.wav,data/embeddings/meal/meal_6_seg001.npy
meal,data/split_5s/meal/meal_6_seg002.wav,data/embeddings/meal/meal_6_seg002.npy
meal,data/split_5s/meal/meal_6_seg003.wav,data/embeddings/meal/meal_6_seg003.npy
meal,data/split_5s/meal/meal_6_seg004.wav,data/embeddings/meal/meal_6_seg004.npy
meal,data/split_5s/meal/meal_6_seg005.wav,data/embeddings/meal/meal_6_seg005.npy
meal,data/split_5s/meal/meal_6_seg006.wav,data/embeddings/meal/meal_6_seg006.npy
meal,data/split_5s/meal/meal_7_seg000.wav,data/embeddings/meal/meal_7_seg000.npy
meal,data/split_5s/meal/meal_7_seg001.wav,data/embeddings/meal/meal_7_seg001.npy
meal,data/split_5s/meal/meal_8_seg000.wav,data/embeddings/meal/meal_8_seg000.npy
meal,data/split_5s/meal/meal_8_seg001.wav,data/embeddings/meal/meal_8_seg001.npy
meal,data/split_5s/meal/meal_8_seg002.wav,data/embeddings/meal/meal_8_seg002.npy
meal,data/split_5s/meal/meal_8_seg003.wav,data/embeddings/meal/meal_8_seg003.npy
meal,data/split_5s/meal/meal_8_seg004.wav,data/embeddings/meal/meal_8_seg004.npy
meal,data/split_5s/meal/meal_8_seg005.wav,data/embeddings/meal/meal_8_seg005.npy
meal,data/split_5s/meal/meal_8_seg006.wav,data/embeddings/meal/meal_8_seg006.npy
meal,data/split_5s/meal/meal_9_seg000.wav,data/embeddings/meal/meal_9_seg000.npy
meal,data/split_5s/meal/meal_9_seg001.wav,data/embeddings/meal/meal_9_seg001.npy
